LOCALITY_ID,LOCALITY_NAME,LOCALITY_TYPE,POSTCODE,STATE,LGA_CODE,LGA_NAME
NSW2422,LOWER BAGO,GAZETTED LOCALITY,2730,NSW,LGA17080,Snowy Valleys (A)
NSW2423,LOWER BELFORD,GAZETTED LOCALITY,2335,NSW,LGA17000,Singleton (A)
NSW2424,LOWER BORO,GAZETTED LOCALITY,2580,NSW,LGA13310,Goulburn Mulwaree (A)
NSW2425,LOWER BOTTLE CREEK,GAZETTED LOCALITY,2469,NSW,LGA14550,Kyogle (A)
NSW2426,LOWER CREEK,GAZETTED LOCALITY,2440,NSW,LGA10130,Armidale Regional (A)
NSW2427,LOWER DUCK CREEK,GAZETTED LOCALITY,2469,NSW,LGA14550,Kyogle (A)
NSW2428,LOWER DYRAABA,GAZETTED LOCALITY,2470,NSW,LGA14550,Kyogle (A)
NSW2429,LOWER LEWIS PONDS,GAZETTED LOCALITY,2800,NSW,LGA11400,Cabonne (A)
NSW2430,LOWER MACDONALD,GAZETTED LOCALITY,2775,NSW,LGA13800,Hawkesbury (C)
NSW2431,LOWER MANGROVE,GAZETTED LOCALITY,2250,NSW,LGA11650,Central Coast (C) (NSW)
NSW2432,LOWER PAPPINBARRA,GAZETTED LOCALITY,2446,NSW,LGA16380,Port Macquarie-Hastings (A)
NSW2433,LOWER PEACOCK,GAZETTED LOCALITY,2469,NSW,LGA14550,Kyogle (A)
NSW2434,LOWER PORTLAND,GAZETTED LOCALITY,2756,NSW,LGA13800,Hawkesbury (C)
NSW2435,LOWER SOUTHGATE,GAZETTED LOCALITY,2460,NSW,LGA11730,Clarence Valley (A)
NSW2436,LOWESDALE,GAZETTED LOCALITY,2646,NSW,LGA12870,Federation (A)
NSW2437,LOWTHER,GAZETTED LOCALITY,2790,NSW,LGA14870,Lithgow (C)
NSW2438,LOXFORD,GAZETTED LOCALITY,2326,NSW,LGA11720,Cessnock (C)
NSW2439,LUCAS HEIGHTS,GAZETTED LOCALITY,2234,NSW,LGA17150,Sutherland Shire (A)
NSW2440,LUCKNOW,GAZETTED LOCALITY,2800,NSW,LGA16150,Orange (C)
NSW2441,LUDDENHAM,GAZETTED LOCALITY,2745,NSW,LGA14900,Liverpool (C)
NSW2442,LUE,GAZETTED LOCALITY,2850,NSW,LGA15270,Mid-Western Regional (A)
NSW2443,LUGARNO,GAZETTED LOCALITY,2210,NSW,LGA12930,Georges River (A)
NSW2444,LURNEA,GAZETTED LOCALITY,2170,NSW,LGA14900,Liverpool (C)
NSW2445,LUSKINTYRE,GAZETTED LOCALITY,2321,NSW,LGA15050,Maitland (C)
